model,frame,decode_ms,infer_ms,track_ms,pipeline_ms,fps_proc,num_det_vehicle,mean_score_vehicle,frames_no_det,active_tracks,in_running,out_running,unique_ids,id_switches,segment
ANN (MLP),0,25.97,48.16,0.11,74.24,13.47,0,0.0,1,0,0,0,0,0,start
ANN (MLP),1,1.06,0.0,0.12,1.18,848.22,0,0.0,1,0,0,0,0,0,start
ANN (MLP),2,1.2,0.0,0.12,1.32,755.13,0,0.0,1,0,0,0,0,0,start
ANN (MLP),3,0.84,0.0,0.13,0.97,1032.75,0,0.0,1,0,0,0,0,0,start
ANN (MLP),4,11.18,28.92,0.09,40.18,24.89,0,0.0,1,0,0,0,0,0,start
ANN (MLP),5,0.74,0.0,0.12,0.85,1172.27,0,0.0,1,0,0,0,0,0,start
ANN (MLP),6,0.75,0.0,0.14,0.89,1126.91,0,0.0,1,0,0,0,0,0,start
ANN (MLP),7,0.71,0.0,0.14,0.85,1176.53,0,0.0,1,0,0,0,0,0,start
ANN (MLP),8,0.72,28.75,0.08,29.55,33.84,0,0.0,1,0,0,0,0,0,start
ANN (MLP),9,1.04,0.0,0.12,1.17,856.64,0,0.0,1,0,0,0,0,0,start
ANN (MLP),10,0.9,0.0,0.14,1.04,963.13,0,0.0,1,0,0,0,0,0,start
ANN (MLP),11,0.89,0.0,0.33,1.22,817.25,0,0.0,1,0,0,0,0,0,start
ANN (MLP),12,4.72,28.53,0.1,33.36,29.98,0,0.0,1,0,0,0,0,0,start
ANN (MLP),13,0.85,0.0,0.12,0.97,1028.71,0,0.0,1,0,0,0,0,0,start
ANN (MLP),14,0.8,0.0,0.12,0.93,1077.42,0,0.0,1,0,0,0,0,0,start
ANN (MLP),15,0.68,0.0,0.13,0.81,1236.45,0,0.0,1,0,0,0,0,0,start
ANN (MLP),16,0.81,30.11,0.09,31.0,32.26,0,0.0,1,0,0,0,0,0,start
ANN (MLP),17,0.85,0.0,0.13,0.98,1016.3,0,0.0,1,0,0,0,0,0,start
ANN (MLP),18,0.88,0.0,0.13,1.02,981.98,0,0.0,1,0,0,0,0,0,start
ANN (MLP),19,0.85,0.0,0.12,0.97,1029.42,0,0.0,1,0,0,0,0,0,start
ANN (MLP),20,0.83,29.58,0.09,30.49,32.79,0,0.0,1,0,0,0,0,0,start
ANN (MLP),21,0.83,0.0,0.12,0.95,1053.61,0,0.0,1,0,0,0,0,0,start
ANN (MLP),22,0.99,0.0,0.12,1.11,902.22,0,0.0,1,0,0,0,0,0,start
ANN (MLP),23,0.66,0.0,0.12,0.78,1282.06,0,0.0,1,0,0,0,0,0,start
ANN (MLP),24,2.81,28.63,0.1,31.54,31.7,0,0.0,1,0,0,0,0,0,start
ANN (MLP),25,0.93,0.0,0.12,1.05,955.83,0,0.0,1,0,0,0,0,0,start
ANN (MLP),26,0.98,0.0,0.12,1.1,911.11,0,0.0,1,0,0,0,0,0,start
ANN (MLP),27,0.71,0.0,0.13,0.84,1189.04,0,0.0,1,0,0,0,0,0,start
ANN (MLP),28,0.69,29.0,0.1,29.79,33.57,0,0.0,1,0,0,0,0,0,start
ANN (MLP),29,0.76,0.0,0.12,0.88,1134.65,0,0.0,1,0,0,0,0,0,start
ANN (MLP),30,0.68,0.0,0.12,0.8,1255.59,0,0.0,1,0,0,0,0,0,start
