model,frame,decode_ms,infer_ms,track_ms,pipeline_ms,fps_proc,num_det_vehicle,mean_score_vehicle,frames_no_det,active_tracks,in_running,out_running,unique_ids,id_switches,segment
AdaBoost,0,23.26,125.61,0.1,148.97,6.71,0,0.0,1,0,0,0,0,0,start
AdaBoost,1,0.83,0.0,0.12,0.95,1053.16,0,0.0,1,0,0,0,0,0,start
AdaBoost,2,0.8,0.0,0.14,0.93,1072.27,0,0.0,1,0,0,0,0,0,start
AdaBoost,3,0.94,0.0,0.14,1.08,927.94,0,0.0,1,0,0,0,0,0,start
AdaBoost,4,0.77,121.58,0.08,122.43,8.17,0,0.0,1,0,0,0,0,0,start
AdaBoost,5,0.81,0.0,0.12,0.93,1072.7,0,0.0,1,0,0,0,0,0,start
AdaBoost,6,0.76,0.0,0.12,0.89,1123.38,0,0.0,1,0,0,0,0,0,start
AdaBoost,7,0.73,0.0,0.13,0.86,1158.37,0,0.0,1,0,0,0,0,0,start
AdaBoost,8,0.71,124.82,0.09,125.63,7.96,0,0.0,1,0,0,0,0,0,start
AdaBoost,9,0.83,0.0,0.14,0.97,1031.46,0,0.0,1,0,0,0,0,0,start
AdaBoost,10,0.97,0.0,0.15,1.13,887.73,0,0.0,1,0,0,0,0,0,start
AdaBoost,11,0.98,0.0,0.19,1.17,856.38,0,0.0,1,0,0,0,0,0,start
AdaBoost,12,5.24,129.41,0.09,134.75,7.42,0,0.0,1,0,0,0,0,0,start
AdaBoost,13,5.42,0.0,0.2,5.62,178.0,0,0.0,1,0,0,0,0,0,start
AdaBoost,14,1.0,0.0,0.16,1.16,863.21,0,0.0,1,0,0,0,0,0,start
AdaBoost,15,3.88,0.0,0.16,4.05,247.02,0,0.0,1,0,0,0,0,0,start
AdaBoost,16,5.35,126.99,0.09,132.44,7.55,0,0.0,1,0,0,0,0,0,start
AdaBoost,17,0.99,0.0,0.16,1.15,867.35,0,0.0,1,0,0,0,0,0,start
AdaBoost,18,0.89,0.0,0.15,1.05,954.61,0,0.0,1,0,0,0,0,0,start
AdaBoost,19,5.31,0.0,0.17,5.48,182.34,0,0.0,1,0,0,0,0,0,start
AdaBoost,20,3.61,132.88,0.14,136.63,7.32,0,0.0,1,0,0,0,0,0,start
AdaBoost,21,0.88,0.0,0.14,1.02,977.32,0,0.0,1,0,0,0,0,0,start
AdaBoost,22,0.78,0.0,0.15,0.93,1073.9,0,0.0,1,0,0,0,0,0,start
AdaBoost,23,1.98,0.0,0.16,2.15,465.32,0,0.0,1,0,0,0,0,0,start
AdaBoost,24,2.27,120.04,0.1,122.41,8.17,0,0.0,1,0,0,0,0,0,start
AdaBoost,25,1.1,0.0,0.15,1.25,800.6,0,0.0,1,0,0,0,0,0,start
AdaBoost,26,0.72,0.0,0.17,0.89,1125.68,0,0.0,1,0,0,0,0,0,start
AdaBoost,27,0.86,0.0,0.16,1.02,983.4,0,0.0,1,0,0,0,0,0,start
AdaBoost,28,0.81,124.28,0.09,125.18,7.99,0,0.0,1,0,0,0,0,0,start
AdaBoost,29,1.18,0.0,0.16,1.35,741.89,0,0.0,1,0,0,0,0,0,start
AdaBoost,30,1.16,0.0,0.18,1.34,744.36,0,0.0,1,0,0,0,0,0,start
AdaBoost,31,1.01,0.0,0.27,1.28,779.94,0,0.0,1,0,0,0,0,0,start
AdaBoost,32,0.83,122.85,0.1,123.78,8.08,0,0.0,1,0,0,0,0,0,start
AdaBoost,33,0.97,0.0,0.14,1.11,900.86,0,0.0,1,0,0,0,0,0,start
AdaBoost,34,0.65,0.0,0.13,0.78,1279.63,0,0.0,1,0,0,0,0,0,start
AdaBoost,35,0.71,0.0,0.19,0.91,1104.91,0,0.0,1,0,0,0,0,0,start
AdaBoost,36,7.97,119.77,0.11,127.86,7.82,0,0.0,1,0,0,0,0,0,start
AdaBoost,37,1.09,0.0,0.12,1.21,824.31,0,0.0,1,0,0,0,0,0,start
AdaBoost,38,1.11,0.0,0.12,1.23,810.88,0,0.0,1,0,0,0,0,0,start
