model,frame,decode_ms,infer_ms,track_ms,pipeline_ms,fps_proc,num_det_vehicle,mean_score_vehicle,frames_no_det,active_tracks,in_running,out_running,unique_ids,id_switches,segment
Decision Tree,0,26.18,32.44,0.21,58.82,17.0,1,1.0,0,1,0,0,1,0,start
Decision Tree,1,0.98,0.0,0.38,1.35,739.4,1,1.0,0,1,0,0,1,0,start
Decision Tree,2,0.98,0.0,0.38,1.35,738.55,1,1.0,0,1,0,0,1,0,start
Decision Tree,3,0.73,0.0,0.41,1.14,875.52,1,1.0,0,1,0,0,1,0,start
Decision Tree,4,11.47,27.01,0.18,38.66,25.87,0,0.0,1,0,0,0,1,0,start
Decision Tree,5,0.96,0.0,0.36,1.32,756.41,0,0.0,1,0,0,0,1,0,start
Decision Tree,6,0.73,0.0,0.25,0.98,1017.29,0,0.0,1,0,0,0,1,0,start
Decision Tree,7,0.64,0.0,0.27,0.91,1097.77,0,0.0,1,0,0,0,1,0,start
Decision Tree,8,0.73,27.91,0.19,28.83,34.68,0,0.0,1,0,0,0,1,0,start
Decision Tree,9,0.88,0.0,0.27,1.14,873.37,0,0.0,1,0,0,0,1,0,start
Decision Tree,10,1.19,0.0,0.71,1.9,527.57,0,0.0,1,0,0,0,1,0,start
Decision Tree,11,1.61,0.0,0.66,2.28,438.79,0,0.0,1,0,0,0,1,0,start
Decision Tree,12,1.08,27.27,0.19,28.55,35.02,0,0.0,1,0,0,0,1,0,start
Decision Tree,13,0.98,0.0,0.25,1.23,816.11,0,0.0,1,0,0,0,1,0,start
Decision Tree,14,0.93,0.0,0.3,1.23,813.14,0,0.0,1,0,0,0,1,0,start
Decision Tree,15,0.88,0.0,0.27,1.16,865.7,0,0.0,1,0,0,0,1,0,start
Decision Tree,16,0.91,27.4,0.19,28.5,35.09,0,0.0,1,0,0,0,1,0,start
Decision Tree,17,0.93,0.0,0.28,1.22,821.15,0,0.0,1,0,0,0,1,0,start
Decision Tree,18,0.83,0.0,0.23,1.07,934.64,0,0.0,1,0,0,0,1,0,start
Decision Tree,19,0.75,0.0,0.26,1.01,988.13,0,0.0,1,0,0,0,1,0,start
Decision Tree,20,0.78,27.18,0.28,28.24,35.41,1,1.0,0,0,0,0,1,0,start
Decision Tree,21,0.86,0.0,0.43,1.3,770.44,1,1.0,0,0,0,0,1,0,start
Decision Tree,22,0.61,0.0,0.55,1.16,860.95,1,1.0,0,1,0,0,2,0,start
Decision Tree,23,0.75,0.0,0.44,1.19,843.55,1,1.0,0,1,0,0,2,0,start
Decision Tree,24,4.02,26.73,0.39,31.14,32.12,1,1.0,0,1,0,0,2,0,start
Decision Tree,25,0.88,0.0,0.41,1.3,771.05,1,1.0,0,1,0,0,2,0,start
Decision Tree,26,1.02,0.0,0.41,1.43,697.63,1,1.0,0,1,0,0,2,0,start
Decision Tree,27,0.76,0.0,0.43,1.19,841.89,1,1.0,0,1,0,0,2,0,start
Decision Tree,28,8.56,26.93,0.21,35.69,28.02,0,0.0,1,0,0,0,2,0,start
Decision Tree,29,0.77,0.0,0.52,1.28,778.96,0,0.0,1,0,0,0,2,0,start
Decision Tree,30,1.0,0.0,0.28,1.27,785.18,0,0.0,1,0,0,0,2,0,start
Decision Tree,31,0.84,0.0,0.3,1.14,874.36,0,0.0,1,0,0,0,2,0,start
Decision Tree,32,0.73,26.3,0.25,27.29,36.65,0,0.0,1,0,0,0,2,0,start
Decision Tree,33,0.97,0.0,0.3,1.27,787.89,0,0.0,1,0,0,0,2,0,start
Decision Tree,34,1.35,0.0,0.33,1.68,595.29,0,0.0,1,0,0,0,2,0,start
Decision Tree,35,1.23,0.0,0.44,1.67,599.62,0,0.0,1,0,0,0,2,0,start
Decision Tree,36,0.66,26.73,0.27,27.66,36.16,1,1.0,0,0,0,0,2,0,start
Decision Tree,37,0.88,0.0,0.4,1.28,784.25,1,1.0,0,0,0,0,2,0,start
Decision Tree,38,0.74,0.0,0.41,1.16,865.21,1,1.0,0,1,0,0,3,0,start
Decision Tree,39,0.65,0.0,0.43,1.08,924.35,1,1.0,0,1,0,0,3,0,start
Decision Tree,40,0.77,26.54,0.21,27.51,36.34,0,0.0,1,0,0,0,3,0,start
