model,frame,decode_ms,infer_ms,track_ms,pipeline_ms,fps_proc,num_det_vehicle,mean_score_vehicle,frames_no_det,active_tracks,in_running,out_running,unique_ids,id_switches,segment
Faster R-CNN,0,46.44,2577.72,90.63,2714.8,0.37,20,0.6661,0,20,0,0,20,0,start
Faster R-CNN,1,1.09,2839.07,21.24,2861.4,0.35,21,0.6241,0,21,0,0,25,0,start
Faster R-CNN,2,1.0,2850.02,45.4,2896.41,0.35,23,0.641,0,15,0,0,25,0,start
Faster R-CNN,3,0.96,2623.06,7.81,2631.83,0.38,24,0.5728,0,17,0,0,25,0,start
Faster R-CNN,4,0.73,2779.26,4.62,2784.61,0.36,24,0.6139,0,20,0,0,27,0,start
Faster R-CNN,5,0.97,2680.83,8.39,2690.19,0.37,23,0.6219,0,18,0,0,27,0,start
Faster R-CNN,6,0.92,2926.3,5.51,2932.73,0.34,26,0.6129,0,23,0,0,31,0,start
Faster R-CNN,7,0.98,2605.46,45.59,2652.03,0.38,24,0.6163,0,19,0,0,31,0,start
Faster R-CNN,8,0.75,2592.08,43.84,2636.67,0.38,22,0.6575,0,20,0,0,33,0,start
Faster R-CNN,9,0.89,2717.77,5.92,2724.58,0.37,21,0.6329,0,19,0,0,34,0,start
Faster R-CNN,10,0.66,2526.52,10.02,2537.21,0.39,18,0.6845,0,16,0,0,34,0,start
Faster R-CNN,11,0.72,1948.22,2.05,1950.99,0.51,16,0.6791,0,16,0,0,34,0,start
Faster R-CNN,12,0.77,1977.87,7.84,1986.48,0.5,20,0.633,0,14,0,0,34,0,start
Faster R-CNN,13,0.94,1948.5,5.19,1954.63,0.51,20,0.6466,0,16,0,0,35,0,start
Faster R-CNN,14,0.93,2068.77,4.86,2074.56,0.48,23,0.6073,0,15,0,0,35,0,start
Faster R-CNN,15,0.77,1994.61,2.9,1998.28,0.5,22,0.6294,0,21,0,0,38,0,start
Faster R-CNN,16,1.02,2004.12,6.02,2011.16,0.5,23,0.6443,0,20,0,0,38,0,start
Faster R-CNN,17,0.71,1954.65,5.53,1960.89,0.51,24,0.6496,0,21,0,0,39,0,start
Faster R-CNN,18,1.01,1977.65,2.75,1981.41,0.5,20,0.6855,0,19,0,0,40,0,start
Faster R-CNN,19,0.87,1996.98,2.51,2000.35,0.5,21,0.6766,0,17,0,0,40,0,start
Faster R-CNN,20,0.84,2003.21,2.78,2006.82,0.5,24,0.6389,0,18,0,0,40,0,start
Faster R-CNN,21,0.7,2085.1,2.68,2088.48,0.48,23,0.6341,0,21,0,0,41,0,start
Faster R-CNN,22,0.84,2126.55,2.64,2130.02,0.47,20,0.6538,0,19,0,0,41,0,start
Faster R-CNN,23,1.06,1979.91,2.64,1983.6,0.5,21,0.6251,0,19,0,0,41,0,start
Faster R-CNN,24,1.16,2034.7,2.77,2038.62,0.49,23,0.6321,0,19,0,0,41,0,start
Faster R-CNN,25,0.8,2066.12,2.7,2069.62,0.48,19,0.6391,0,19,0,0,41,0,start
Faster R-CNN,26,0.67,1955.91,2.68,1959.26,0.51,22,0.6643,0,17,0,0,41,0,start
Faster R-CNN,27,0.74,1981.07,3.95,1985.76,0.5,22,0.6167,0,19,0,0,42,0,start
Faster R-CNN,28,0.99,1912.5,2.78,1916.27,0.52,23,0.6638,0,20,0,0,43,0,start
Faster R-CNN,29,0.67,1950.39,3.18,1954.24,0.51,25,0.6421,0,22,0,0,44,0,start
Faster R-CNN,30,0.83,2076.19,3.03,2080.05,0.48,25,0.614,0,22,0,0,44,0,start
Faster R-CNN,31,0.63,2071.13,3.8,2075.56,0.48,22,0.6069,0,21,0,0,44,0,start
Faster R-CNN,32,0.68,1979.38,2.9,1982.96,0.5,24,0.5896,0,20,0,0,44,0,start
Faster R-CNN,33,0.86,1929.89,2.99,1933.74,0.52,24,0.6023,0,19,0,0,45,0,start
Faster R-CNN,34,0.67,1933.78,3.03,1937.48,0.52,21,0.6263,0,21,0,0,46,0,start
Faster R-CNN,35,0.82,1981.5,5.01,1987.34,0.5,24,0.6022,0,20,0,0,46,0,start
Faster R-CNN,36,0.68,1932.76,5.25,1938.7,0.52,22,0.6264,0,21,0,0,47,0,start
Faster R-CNN,37,0.65,1949.14,2.52,1952.31,0.51,20,0.6028,0,18,0,0,47,0,start
Faster R-CNN,38,0.75,1935.29,2.74,1938.78,0.52,23,0.5744,0,19,0,0,47,0,start
Faster R-CNN,39,0.79,1948.92,2.77,1952.48,0.51,23,0.5887,0,22,0,0,47,0,start
Faster R-CNN,40,0.75,2007.34,2.6,2010.68,0.5,20,0.6225,0,20,0,0,48,0,start
Faster R-CNN,41,0.81,2059.77,2.63,2063.21,0.48,22,0.5856,0,19,0,0,48,0,start
Faster R-CNN,42,0.73,2140.0,2.59,2143.32,0.47,21,0.5659,0,17,0,0,48,0,start
Faster R-CNN,43,0.77,2163.8,2.73,2167.3,0.46,23,0.6047,0,17,0,0,49,0,start
Faster R-CNN,44,0.82,2237.65,2.75,2241.23,0.45,18,0.5981,0,15,0,0,49,0,start
Faster R-CNN,45,0.88,2230.36,2.57,2233.81,0.45,19,0.5807,0,14,0,0,49,0,start
Faster R-CNN,46,0.85,2215.72,2.54,2219.12,0.45,18,0.7161,0,13,0,0,49,0,start
Faster R-CNN,47,0.86,2273.4,2.91,2277.17,0.44,23,0.6198,0,11,0,0,49,0,start
Faster R-CNN,48,0.76,2093.72,2.24,2096.71,0.48,13,0.6612,0,12,0,0,49,0,start
Faster R-CNN,49,0.72,2089.0,2.2,2091.92,0.48,14,0.6445,0,6,0,0,49,0,start
Faster R-CNN,50,0.71,2034.62,2.36,2037.68,0.49,17,0.6215,0,10,0,0,51,0,start
Faster R-CNN,51,0.65,2020.86,2.57,2024.08,0.49,22,0.6116,0,7,0,0,51,0,start
Faster R-CNN,52,0.88,2076.69,2.85,2080.41,0.48,20,0.6257,0,16,0,0,53,1,start
Faster R-CNN,53,0.85,2090.32,2.76,2093.92,0.48,18,0.6602,0,15,0,0,53,1,start
Faster R-CNN,54,0.65,2278.66,2.5,2281.8,0.44,17,0.6281,0,12,0,0,53,1,start
Faster R-CNN,55,0.65,2024.73,2.91,2028.29,0.49,20,0.6226,0,13,0,0,53,1,start
Faster R-CNN,56,0.76,2042.27,3.2,2046.23,0.49,22,0.5944,0,17,0,0,54,1,start
Faster R-CNN,57,0.73,2077.17,2.61,2080.51,0.48,17,0.6548,0,15,1,0,55,1,start
Faster R-CNN,58,0.63,2008.26,4.06,2012.95,0.5,20,0.5889,0,15,1,0,55,1,start
Faster R-CNN,59,0.79,2014.7,9.06,2024.55,0.49,22,0.6181,0,13,1,1,55,1,start
Faster R-CNN,60,1.21,2073.01,3.04,2077.26,0.48,22,0.6339,0,15,1,1,56,1,start
Faster R-CNN,61,0.71,2114.2,3.62,2118.52,0.47,20,0.5887,0,17,1,1,56,1,start
Faster R-CNN,62,6.74,2321.88,3.29,2331.91,0.43,20,0.6502,0,11,1,1,56,1,start
