model,frame,decode_ms,infer_ms,track_ms,pipeline_ms,fps_proc,num_det_vehicle,mean_score_vehicle,frames_no_det,active_tracks,in_running,out_running,unique_ids,id_switches,segment
Gradient Boosting,0,27.12,37.81,0.08,65.01,15.38,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,1,1.1,0.0,0.12,1.22,823.0,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,2,0.81,0.0,0.13,0.95,1057.33,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,3,0.57,0.0,0.15,0.72,1388.64,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,4,9.59,25.76,0.09,35.44,28.22,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,5,1.08,0.0,0.35,1.43,700.79,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,6,0.58,0.0,0.11,0.69,1440.65,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,7,0.55,0.0,0.14,0.69,1446.37,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,8,4.28,26.62,0.08,30.99,32.27,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,9,1.14,0.0,0.13,1.27,786.05,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,10,1.22,0.0,0.13,1.35,739.14,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,11,2.43,0.0,0.28,2.71,369.24,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,12,0.79,25.75,0.08,26.63,37.55,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,13,0.87,0.0,0.11,0.98,1015.99,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,14,0.75,0.0,0.27,1.01,985.37,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,15,0.52,0.0,0.11,0.64,1570.84,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,16,0.86,28.91,0.08,29.86,33.49,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,17,0.89,0.0,0.14,1.03,973.19,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,18,1.03,0.0,0.13,1.16,862.93,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,19,1.16,0.0,0.12,1.28,779.04,0,0.0,1,0,0,0,0,0,start
Gradient Boosting,20,0.9,28.52,0.15,29.57,33.81,1,1.0,0,0,0,0,0,0,start
Gradient Boosting,21,0.89,0.0,0.38,1.27,785.21,1,1.0,0,0,0,0,0,0,start
Gradient Boosting,22,0.84,0.0,0.6,1.44,694.81,1,1.0,0,1,0,0,1,0,start
Gradient Boosting,23,0.81,0.0,0.34,1.14,873.81,1,1.0,0,1,0,0,1,0,start
Gradient Boosting,24,1.74,28.79,0.28,30.82,32.45,1,1.0,0,1,0,0,1,0,start
Gradient Boosting,25,0.97,0.0,0.34,1.31,765.82,1,1.0,0,1,0,0,1,0,start
Gradient Boosting,26,0.9,0.0,0.38,1.28,783.01,1,1.0,0,1,0,0,1,0,start
Gradient Boosting,27,0.81,0.0,0.36,1.18,849.95,1,1.0,0,1,0,0,1,0,start
Gradient Boosting,28,0.87,29.0,0.19,30.06,33.27,0,0.0,1,0,0,0,1,0,start
Gradient Boosting,29,0.94,0.0,0.26,1.2,831.32,0,0.0,1,0,0,0,1,0,start
Gradient Boosting,30,0.78,0.0,0.26,1.05,952.94,0,0.0,1,0,0,0,1,0,start
Gradient Boosting,31,0.71,0.0,0.51,1.22,822.45,0,0.0,1,0,0,0,1,0,start
