model,frame,decode_ms,infer_ms,track_ms,pipeline_ms,fps_proc,num_det_vehicle,mean_score_vehicle,frames_no_det,active_tracks,in_running,out_running,unique_ids,id_switches,segment
KNN,0,25.59,293.29,0.1,318.97,3.14,0,0.0,1,0,0,0,0,0,start
KNN,1,0.77,0.0,0.12,0.89,1120.65,0,0.0,1,0,0,0,0,0,start
KNN,2,8.85,0.0,0.18,9.03,110.76,0,0.0,1,0,0,0,0,0,start
KNN,3,0.73,0.0,0.14,0.87,1145.09,0,0.0,1,0,0,0,0,0,start
KNN,4,0.76,83.49,0.09,84.34,11.86,0,0.0,1,0,0,0,0,0,start
KNN,5,2.29,0.0,0.14,2.43,410.79,0,0.0,1,0,0,0,0,0,start
KNN,6,1.07,0.0,0.32,1.4,715.92,0,0.0,1,0,0,0,0,0,start
KNN,7,0.74,0.0,0.15,0.9,1115.89,0,0.0,1,0,0,0,0,0,start
KNN,8,0.63,77.61,0.09,78.33,12.77,0,0.0,1,0,0,0,0,0,start
KNN,9,8.1,0.0,0.35,8.45,118.36,0,0.0,1,0,0,0,0,0,start
KNN,10,2.26,0.0,0.13,2.39,417.69,0,0.0,1,0,0,0,0,0,start
KNN,11,0.92,0.0,0.17,1.09,916.18,0,0.0,1,0,0,0,0,0,start
KNN,12,0.6,76.82,0.09,77.52,12.9,0,0.0,1,0,0,0,0,0,start
KNN,13,0.92,0.0,0.15,1.07,938.63,0,0.0,1,0,0,0,0,0,start
KNN,14,0.58,0.0,0.16,0.74,1355.99,0,0.0,1,0,0,0,0,0,start
KNN,15,0.59,0.0,0.13,0.72,1383.0,0,0.0,1,0,0,0,0,0,start
KNN,16,1.21,78.95,0.09,80.24,12.46,0,0.0,1,0,0,0,0,0,start
KNN,17,0.78,0.0,0.3,1.07,931.4,0,0.0,1,0,0,0,0,0,start
KNN,18,0.77,0.0,0.12,0.89,1129.36,0,0.0,1,0,0,0,0,0,start
KNN,19,0.61,0.0,0.14,0.75,1335.07,0,0.0,1,0,0,0,0,0,start
KNN,20,0.57,77.99,0.1,78.66,12.71,0,0.0,1,0,0,0,0,0,start
KNN,21,0.85,0.0,0.14,0.99,1010.08,0,0.0,1,0,0,0,0,0,start
KNN,22,0.75,0.0,0.14,0.9,1116.92,0,0.0,1,0,0,0,0,0,start
KNN,23,0.77,0.0,0.15,0.92,1086.29,0,0.0,1,0,0,0,0,0,start
KNN,24,4.48,80.02,0.09,84.58,11.82,0,0.0,1,0,0,0,0,0,start
KNN,25,0.75,0.0,0.14,0.89,1119.99,0,0.0,1,0,0,0,0,0,start
KNN,26,0.86,0.0,0.13,1.0,1004.96,0,0.0,1,0,0,0,0,0,start
KNN,27,0.82,0.0,0.15,0.96,1037.73,0,0.0,1,0,0,0,0,0,start
KNN,28,0.69,79.29,0.09,80.07,12.49,0,0.0,1,0,0,0,0,0,start
KNN,29,0.81,0.0,0.14,0.95,1053.24,0,0.0,1,0,0,0,0,0,start
KNN,30,0.79,0.0,0.14,0.93,1080.69,0,0.0,1,0,0,0,0,0,start
KNN,31,1.58,0.0,0.14,1.71,584.15,0,0.0,1,0,0,0,0,0,start
KNN,32,0.61,76.93,0.09,77.63,12.88,0,0.0,1,0,0,0,0,0,start
KNN,33,0.86,0.0,0.15,1.01,986.08,0,0.0,1,0,0,0,0,0,start
KNN,34,0.72,0.0,0.11,0.83,1203.82,0,0.0,1,0,0,0,0,0,start
KNN,35,0.64,0.0,0.14,0.79,1272.04,0,0.0,1,0,0,0,0,0,start
KNN,36,9.69,80.64,0.09,90.42,11.06,0,0.0,1,0,0,0,0,0,start
KNN,37,0.88,0.0,0.13,1.01,993.05,0,0.0,1,0,0,0,0,0,start
KNN,38,0.69,0.0,0.13,0.82,1217.26,0,0.0,1,0,0,0,0,0,start
KNN,39,0.79,0.0,0.15,0.94,1063.79,0,0.0,1,0,0,0,0,0,start
KNN,40,0.81,80.15,0.09,81.05,12.34,0,0.0,1,0,0,0,0,0,start
KNN,41,0.92,0.0,0.15,1.07,938.01,0,0.0,1,0,0,0,0,0,start
KNN,42,0.75,0.0,0.15,0.91,1104.03,0,0.0,1,0,0,0,0,0,start
KNN,43,0.73,0.0,0.14,0.87,1146.13,0,0.0,1,0,0,0,0,0,start
KNN,44,0.64,78.61,0.1,79.34,12.6,0,0.0,1,0,0,0,0,0,start
KNN,45,0.8,0.0,0.14,0.94,1058.34,0,0.0,1,0,0,0,0,0,start
KNN,46,0.66,0.0,0.14,0.81,1238.74,0,0.0,1,0,0,0,0,0,start
KNN,47,0.72,0.0,0.15,0.87,1143.53,0,0.0,1,0,0,0,0,0,start
