model,frame,decode_ms,infer_ms,track_ms,pipeline_ms,fps_proc,num_det_vehicle,mean_score_vehicle,frames_no_det,active_tracks,in_running,out_running,unique_ids,id_switches,segment
MobileNet-SSD,0,25.78,39.02,0.14,64.94,15.4,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,1,2.61,40.68,0.17,43.46,23.01,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,2,2.11,38.73,0.13,40.98,24.4,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,3,2.26,89.16,0.14,91.55,10.92,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,4,0.95,37.76,0.13,38.84,25.75,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,5,0.68,36.2,0.16,37.05,26.99,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,6,0.85,37.74,0.14,38.73,25.82,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,7,0.77,40.96,0.13,41.87,23.89,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,8,1.08,39.48,0.14,40.7,24.57,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,9,0.8,54.36,0.13,55.29,18.09,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,10,0.78,37.3,0.17,38.25,26.14,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,11,0.72,40.13,0.18,41.03,24.37,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,12,0.81,40.79,0.13,41.72,23.97,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,13,0.69,43.07,0.13,43.89,22.78,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,14,1.02,42.22,0.14,43.38,23.05,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,15,0.69,39.99,0.13,40.81,24.51,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,16,0.85,37.65,0.15,38.65,25.87,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,17,0.86,38.0,0.14,39.01,25.64,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,18,0.68,38.82,0.15,39.65,25.22,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,19,0.7,44.35,0.13,45.19,22.13,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,20,0.76,40.6,0.15,41.51,24.09,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,21,0.79,41.4,0.13,42.32,23.63,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,22,0.84,39.64,0.16,40.64,24.61,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,23,0.7,41.09,0.12,41.92,23.86,0,0.0,1,0,0,0,0,0,start
MobileNet-SSD,24,0.79,37.31,0.13,38.23,26.16,0,0.0,1,0,0,0,0,0,start
