model,frame,decode_ms,infer_ms,track_ms,pipeline_ms,fps_proc,num_det_vehicle,mean_score_vehicle,frames_no_det,active_tracks,in_running,out_running,unique_ids,id_switches,segment
Naive Bayes,0,26.23,36.67,0.08,62.99,15.87,0,0.0,1,0,0,0,0,0,start
Naive Bayes,1,0.74,0.0,0.11,0.85,1172.56,0,0.0,1,0,0,0,0,0,start
Naive Bayes,2,1.3,0.0,0.13,1.43,699.18,0,0.0,1,0,0,0,0,0,start
Naive Bayes,3,0.76,0.0,0.13,0.89,1122.76,0,0.0,1,0,0,0,0,0,start
Naive Bayes,4,0.96,25.22,0.09,26.27,38.06,0,0.0,1,0,0,0,0,0,start
Naive Bayes,5,1.03,0.0,0.12,1.15,867.16,0,0.0,1,0,0,0,0,0,start
Naive Bayes,6,0.73,0.0,0.13,0.85,1169.76,0,0.0,1,0,0,0,0,0,start
Naive Bayes,7,0.62,0.0,0.14,0.77,1305.68,0,0.0,1,0,0,0,0,0,start
Naive Bayes,8,0.59,26.86,0.08,27.53,36.32,0,0.0,1,0,0,0,0,0,start
Naive Bayes,9,1.16,0.0,0.12,1.28,780.07,0,0.0,1,0,0,0,0,0,start
Naive Bayes,10,0.7,0.0,0.14,0.84,1191.54,0,0.0,1,0,0,0,0,0,start
Naive Bayes,11,0.61,0.0,0.19,0.81,1240.34,0,0.0,1,0,0,0,0,0,start
Naive Bayes,12,5.16,25.77,0.08,31.01,32.25,0,0.0,1,0,0,0,0,0,start
Naive Bayes,13,0.89,0.0,0.12,1.01,991.45,0,0.0,1,0,0,0,0,0,start
Naive Bayes,14,0.65,0.0,0.12,0.78,1283.41,0,0.0,1,0,0,0,0,0,start
Naive Bayes,15,0.62,0.0,0.13,0.76,1316.88,0,0.0,1,0,0,0,0,0,start
Naive Bayes,16,0.66,26.91,0.08,27.65,36.16,0,0.0,1,0,0,0,0,0,start
Naive Bayes,17,0.92,0.0,0.12,1.04,961.51,0,0.0,1,0,0,0,0,0,start
Naive Bayes,18,1.04,0.0,0.14,1.17,851.19,0,0.0,1,0,0,0,0,0,start
Naive Bayes,19,0.59,0.0,0.12,0.71,1404.12,0,0.0,1,0,0,0,0,0,start
Naive Bayes,20,0.73,25.02,0.09,25.84,38.7,0,0.0,1,0,0,0,0,0,start
Naive Bayes,21,0.85,0.0,0.12,0.97,1028.01,0,0.0,1,0,0,0,0,0,start
Naive Bayes,22,0.64,0.0,0.11,0.76,1322.6,0,0.0,1,0,0,0,0,0,start
Naive Bayes,23,0.88,0.0,0.12,1.0,1004.57,0,0.0,1,0,0,0,0,0,start
Naive Bayes,24,1.47,25.19,0.09,26.75,37.38,0,0.0,1,0,0,0,0,0,start
Naive Bayes,25,0.88,0.0,0.28,1.15,866.59,0,0.0,1,0,0,0,0,0,start
Naive Bayes,26,0.67,0.0,0.12,0.78,1277.61,0,0.0,1,0,0,0,0,0,start
Naive Bayes,27,0.68,0.0,0.13,0.81,1242.06,0,0.0,1,0,0,0,0,0,start
Naive Bayes,28,0.69,25.4,0.08,26.17,38.2,0,0.0,1,0,0,0,0,0,start
Naive Bayes,29,0.87,0.0,0.14,1.01,987.44,0,0.0,1,0,0,0,0,0,start
Naive Bayes,30,0.68,0.0,0.12,0.81,1242.11,0,0.0,1,0,0,0,0,0,start
Naive Bayes,31,0.58,0.0,0.14,0.71,1399.47,0,0.0,1,0,0,0,0,0,start
Naive Bayes,32,0.68,27.9,0.09,28.67,34.88,0,0.0,1,0,0,0,0,0,start
Naive Bayes,33,0.76,0.0,0.13,0.89,1121.62,0,0.0,1,0,0,0,0,0,start
Naive Bayes,34,0.6,0.0,0.12,0.73,1377.92,0,0.0,1,0,0,0,0,0,start
