model,frame,decode_ms,infer_ms,track_ms,pipeline_ms,fps_proc,num_det_vehicle,mean_score_vehicle,frames_no_det,active_tracks,in_running,out_running,unique_ids,id_switches,segment
Random Forest,0,26.03,816.52,0.1,842.65,1.19,0,0.0,1,0,0,0,0,0,start
Random Forest,1,0.89,0.0,0.12,1.02,983.88,0,0.0,1,0,0,0,0,0,start
Random Forest,2,0.86,0.0,0.13,1.0,1003.16,0,0.0,1,0,0,0,0,0,start
Random Forest,3,0.92,0.0,0.14,1.07,936.64,0,0.0,1,0,0,0,0,0,start
Random Forest,4,0.94,704.4,0.12,705.46,1.42,0,0.0,1,0,0,0,0,0,start
Random Forest,5,0.76,0.0,0.12,0.88,1130.79,0,0.0,1,0,0,0,0,0,start
Random Forest,6,0.88,0.0,0.13,1.0,995.82,0,0.0,1,0,0,0,0,0,start
Random Forest,7,0.85,0.0,0.12,0.97,1033.96,0,0.0,1,0,0,0,0,0,start
Random Forest,8,0.74,747.85,0.11,748.69,1.34,0,0.0,1,0,0,0,0,0,start
Random Forest,9,0.81,0.0,0.16,0.97,1032.88,0,0.0,1,0,0,0,0,0,start
Random Forest,10,0.64,0.0,0.13,0.77,1303.02,0,0.0,1,0,0,0,0,0,start
Random Forest,11,0.9,0.0,0.13,1.03,974.46,0,0.0,1,0,0,0,0,0,start
Random Forest,12,2.88,704.72,0.09,707.69,1.41,0,0.0,1,0,0,0,0,0,start
Random Forest,13,0.68,0.0,0.15,0.83,1203.29,0,0.0,1,0,0,0,0,0,start
Random Forest,14,0.58,0.0,0.12,0.7,1434.04,0,0.0,1,0,0,0,0,0,start
Random Forest,15,1.71,0.0,0.37,2.08,481.37,0,0.0,1,0,0,0,0,0,start
Random Forest,16,1.0,746.73,0.11,747.85,1.34,0,0.0,1,0,0,0,0,0,start
Random Forest,17,3.59,0.0,0.12,3.71,269.22,0,0.0,1,0,0,0,0,0,start
Random Forest,18,5.43,0.0,0.13,5.56,179.73,0,0.0,1,0,0,0,0,0,start
Random Forest,19,0.66,0.0,0.12,0.78,1280.6,0,0.0,1,0,0,0,0,0,start
Random Forest,20,0.81,762.0,0.1,762.91,1.31,0,0.0,1,0,0,0,0,0,start
Random Forest,21,0.98,0.0,0.12,1.1,910.72,0,0.0,1,0,0,0,0,0,start
Random Forest,22,0.8,0.0,0.14,0.94,1058.94,0,0.0,1,0,0,0,0,0,start
Random Forest,23,0.65,0.0,0.13,0.78,1279.05,0,0.0,1,0,0,0,0,0,start
Random Forest,24,4.59,788.34,0.1,793.03,1.26,0,0.0,1,0,0,0,0,0,start
Random Forest,25,0.91,0.0,0.12,1.03,968.97,0,0.0,1,0,0,0,0,0,start
Random Forest,26,4.85,0.0,0.13,4.99,200.39,0,0.0,1,0,0,0,0,0,start
Random Forest,27,0.8,0.0,0.14,0.94,1059.86,0,0.0,1,0,0,0,0,0,start
Random Forest,28,0.73,710.43,0.1,711.27,1.41,0,0.0,1,0,0,0,0,0,start
Random Forest,29,0.75,0.0,0.13,0.88,1142.02,0,0.0,1,0,0,0,0,0,start
Random Forest,30,0.84,0.0,0.14,0.98,1022.47,0,0.0,1,0,0,0,0,0,start
Random Forest,31,0.9,0.0,0.17,1.07,934.57,0,0.0,1,0,0,0,0,0,start
Random Forest,32,0.96,696.86,0.1,697.92,1.43,0,0.0,1,0,0,0,0,0,start
Random Forest,33,1.26,0.0,0.11,1.38,726.08,0,0.0,1,0,0,0,0,0,start
Random Forest,34,0.87,0.0,0.11,0.98,1016.79,0,0.0,1,0,0,0,0,0,start
Random Forest,35,0.65,0.0,0.13,0.78,1275.36,0,0.0,1,0,0,0,0,0,start
Random Forest,36,4.89,720.38,0.1,725.36,1.38,0,0.0,1,0,0,0,0,0,start
Random Forest,37,0.74,0.0,0.11,0.85,1172.92,0,0.0,1,0,0,0,0,0,start
Random Forest,38,1.15,0.0,0.12,1.27,786.09,0,0.0,1,0,0,0,0,0,start
Random Forest,39,0.74,0.0,0.13,0.86,1156.28,0,0.0,1,0,0,0,0,0,start
Random Forest,40,0.63,765.65,0.18,766.46,1.3,0,0.0,1,0,0,0,0,0,start
Random Forest,41,0.77,0.0,0.12,0.89,1124.68,0,0.0,1,0,0,0,0,0,start
Random Forest,42,0.67,0.0,0.12,0.79,1270.64,0,0.0,1,0,0,0,0,0,start
Random Forest,43,1.7,0.0,0.13,1.84,544.24,0,0.0,1,0,0,0,0,0,start
Random Forest,44,0.72,738.0,0.11,738.84,1.35,0,0.0,1,0,0,0,0,0,start
Random Forest,45,0.68,0.0,0.12,0.81,1238.88,0,0.0,1,0,0,0,0,0,start
Random Forest,46,0.81,0.0,0.13,0.93,1072.37,0,0.0,1,0,0,0,0,0,start
Random Forest,47,0.68,0.0,0.14,0.82,1213.22,0,0.0,1,0,0,0,0,0,start
Random Forest,48,0.87,752.33,0.11,753.32,1.33,0,0.0,1,0,0,0,0,0,start
Random Forest,49,0.91,0.0,0.12,1.04,965.79,0,0.0,1,0,0,0,0,0,start
Random Forest,50,0.79,0.0,0.12,0.92,1090.99,0,0.0,1,0,0,0,0,0,start
Random Forest,51,0.69,0.0,0.12,0.81,1238.06,0,0.0,1,0,0,0,0,0,start
Random Forest,52,0.85,701.53,0.09,702.48,1.42,0,0.0,1,0,0,0,0,0,start
Random Forest,53,0.76,0.0,0.12,0.88,1130.22,0,0.0,1,0,0,0,0,0,start
Random Forest,54,0.65,0.0,0.13,0.78,1274.36,0,0.0,1,0,0,0,0,0,start
Random Forest,55,0.94,0.0,0.13,1.07,936.63,0,0.0,1,0,0,0,0,0,start
Random Forest,56,0.66,735.58,0.11,736.35,1.36,0,0.0,1,0,0,0,0,0,start
Random Forest,57,0.83,0.0,0.13,0.96,1044.31,0,0.0,1,0,0,0,0,0,start
Random Forest,58,0.76,0.0,0.14,0.9,1109.45,0,0.0,1,0,0,0,0,0,start
Random Forest,59,0.76,0.0,0.14,0.91,1099.64,0,0.0,1,0,0,0,0,0,start
Random Forest,60,0.84,836.69,0.1,837.63,1.19,0,0.0,1,0,0,0,0,0,start
Random Forest,61,0.95,0.01,0.13,1.1,910.26,0,0.0,1,0,0,0,0,0,start
Random Forest,62,0.82,0.0,0.16,0.98,1020.84,0,0.0,1,0,0,0,0,0,start
Random Forest,63,1.17,0.0,0.16,1.33,752.88,0,0.0,1,0,0,0,0,0,start
Random Forest,64,0.85,787.5,0.12,788.47,1.27,0,0.0,1,0,0,0,0,0,start
Random Forest,65,1.2,0.0,0.18,1.39,721.03,0,0.0,1,0,0,0,0,0,start
Random Forest,66,0.77,0.0,0.25,1.02,981.56,0,0.0,1,0,0,0,0,0,start
Random Forest,67,0.66,0.0,0.24,0.9,1111.77,0,0.0,1,0,0,0,0,0,start
Random Forest,68,0.65,816.85,0.11,817.61,1.22,0,0.0,1,0,0,0,0,0,start
Random Forest,69,0.88,0.0,0.19,1.07,934.89,0,0.0,1,0,0,0,0,0,start
