model,frame,decode_ms,infer_ms,track_ms,pipeline_ms,fps_proc,num_det_vehicle,mean_score_vehicle,frames_no_det,active_tracks,in_running,out_running,unique_ids,id_switches,segment
RetinaNet,0,24.81,2110.43,0.68,2135.92,0.47,7,0.5192,0,7,0,0,7,0,start
RetinaNet,1,0.89,2091.63,1.33,2093.85,0.48,9,0.4979,0,9,0,0,9,0,start
RetinaNet,2,1.07,2148.33,1.17,2150.56,0.46,12,0.4827,0,7,0,0,9,0,start
RetinaNet,3,0.99,2122.9,1.09,2124.97,0.47,8,0.508,0,7,0,0,9,0,start
RetinaNet,4,4.31,2104.86,1.26,2110.43,0.47,11,0.4868,0,7,0,0,9,0,start
RetinaNet,5,0.76,2111.89,7.96,2120.61,0.47,13,0.481,0,7,0,0,10,0,start
RetinaNet,6,0.83,2105.94,1.39,2108.16,0.47,12,0.4939,0,9,0,0,13,0,start
RetinaNet,7,0.85,2219.53,1.37,2221.75,0.45,10,0.4968,0,7,0,0,13,0,start
RetinaNet,8,0.9,2216.29,1.37,2218.56,0.45,9,0.4996,0,8,0,0,15,0,start
RetinaNet,9,0.97,2148.14,1.36,2150.47,0.47,9,0.4874,0,8,0,0,16,0,start
RetinaNet,10,0.83,2112.13,1.68,2114.64,0.47,8,0.5171,0,6,0,0,16,0,start
RetinaNet,11,0.95,2121.66,1.33,2123.94,0.47,9,0.4831,0,8,0,0,17,0,start
RetinaNet,12,0.83,2151.17,1.32,2153.33,0.46,8,0.506,0,6,0,0,17,0,start
RetinaNet,13,0.79,2086.37,1.25,2088.41,0.48,6,0.5509,0,6,0,0,17,0,start
RetinaNet,14,0.83,2083.34,1.25,2085.41,0.48,7,0.525,0,6,0,0,17,0,start
RetinaNet,15,0.87,2141.39,1.4,2143.65,0.47,8,0.5051,0,7,0,0,17,0,start
RetinaNet,16,0.91,2155.48,1.57,2157.97,0.46,7,0.51,0,6,0,0,18,0,start
RetinaNet,17,0.87,2125.22,1.38,2127.48,0.47,9,0.4807,0,6,0,0,18,0,start
RetinaNet,18,0.8,2103.84,1.49,2106.13,0.47,9,0.4835,0,8,0,0,19,0,start
RetinaNet,19,0.89,2127.69,1.61,2130.19,0.47,12,0.472,0,8,0,0,19,0,start
RetinaNet,20,0.88,2094.65,1.33,2096.86,0.48,7,0.535,0,7,0,0,19,0,start
RetinaNet,21,1.01,2100.07,1.39,2102.47,0.48,8,0.4998,0,7,0,0,19,0,start
RetinaNet,22,1.03,2128.35,1.74,2131.11,0.47,8,0.505,0,6,0,0,20,0,start
RetinaNet,23,0.94,2192.33,1.68,2194.95,0.46,11,0.4655,0,7,0,0,20,0,start
RetinaNet,24,0.87,2157.71,1.57,2160.15,0.46,10,0.4884,0,8,0,0,20,0,start
RetinaNet,25,0.95,2105.66,1.51,2108.12,0.47,8,0.5413,0,7,0,0,20,0,start
RetinaNet,26,0.84,2142.2,1.81,2144.85,0.47,10,0.5269,0,7,0,0,20,0,start
RetinaNet,27,0.97,2125.89,1.59,2128.45,0.47,11,0.4938,0,10,0,0,21,0,start
RetinaNet,28,0.95,2123.14,1.59,2125.69,0.47,10,0.5207,0,10,0,0,21,0,start
RetinaNet,29,0.77,2138.97,1.72,2141.45,0.47,11,0.4887,0,9,0,0,21,0,start
RetinaNet,30,1.07,2208.14,1.74,2210.95,0.45,12,0.4968,0,8,0,0,21,0,start
RetinaNet,31,0.87,2120.77,1.88,2123.51,0.47,11,0.5012,0,10,0,0,22,0,start
RetinaNet,32,0.98,2120.58,1.66,2123.22,0.47,10,0.5295,0,10,0,0,23,0,start
RetinaNet,33,0.98,2155.76,1.73,2158.47,0.46,12,0.4975,0,9,0,0,23,0,start
RetinaNet,34,0.95,2145.47,2.03,2148.46,0.47,15,0.4674,0,10,0,0,23,0,start
RetinaNet,35,0.79,2109.85,1.79,2112.43,0.47,14,0.4618,0,12,0,0,23,0,start
RetinaNet,36,0.81,2115.73,2.01,2118.55,0.47,13,0.4573,0,12,0,0,23,0,start
RetinaNet,37,0.81,2107.42,1.65,2109.88,0.47,11,0.4764,0,9,0,0,23,0,start
RetinaNet,38,1.02,2201.83,1.57,2204.42,0.45,11,0.4739,0,10,0,0,24,0,start
RetinaNet,39,0.94,2232.77,1.77,2235.47,0.45,14,0.4751,0,11,0,0,24,0,start
RetinaNet,40,0.81,2151.84,1.81,2154.46,0.46,14,0.4821,0,12,0,0,24,1,start
