model,frame,decode_ms,infer_ms,track_ms,pipeline_ms,fps_proc,num_det_vehicle,mean_score_vehicle,frames_no_det,active_tracks,in_running,out_running,unique_ids,id_switches,segment
SSD,0,33.55,259.09,0.3,292.94,3.41,1,0.3777,0,1,0,0,1,0,start
SSD,1,1.02,264.38,0.31,265.71,3.76,0,0.0,1,0,0,0,1,0,start
SSD,2,0.89,248.5,0.44,249.83,4.0,1,0.4363,0,0,0,0,1,0,start
SSD,3,1.73,252.61,0.44,254.77,3.93,1,0.3833,0,1,0,0,1,0,start
SSD,4,1.56,256.04,0.29,257.88,3.88,0,0.0,1,0,0,0,1,0,start
SSD,5,1.2,258.79,0.46,260.45,3.84,1,0.4617,0,0,0,0,1,0,start
SSD,6,1.94,262.99,0.57,265.5,3.77,2,0.409,0,1,0,0,1,0,start
SSD,7,1.18,285.76,0.53,287.48,3.48,2,0.4167,0,1,0,0,1,0,start
SSD,8,0.99,253.18,0.47,254.65,3.93,2,0.4147,0,2,0,0,2,0,start
SSD,9,0.86,249.19,0.48,250.53,3.99,1,0.3637,0,1,0,0,2,0,start
SSD,10,0.91,243.83,0.44,245.18,4.08,1,0.401,0,1,0,0,2,0,start
SSD,11,1.58,254.17,0.44,256.2,3.9,1,0.4142,0,1,0,0,2,0,start
SSD,12,1.01,246.8,0.46,248.26,4.03,1,0.375,0,1,0,0,2,0,start
SSD,13,0.8,256.29,0.44,257.53,3.88,1,0.41,0,1,0,0,2,0,start
SSD,14,0.95,249.24,0.71,250.9,3.99,1,0.4432,0,1,0,0,2,0,start
SSD,15,0.91,246.75,0.48,248.14,4.03,1,0.4117,0,1,0,0,2,0,start
SSD,16,1.08,245.86,0.44,247.38,4.04,1,0.4928,0,1,0,0,2,0,start
SSD,17,0.91,247.27,0.44,248.62,4.02,1,0.3921,0,1,0,0,2,0,start
SSD,18,0.85,245.83,0.44,247.12,4.05,1,0.4595,0,1,0,0,2,0,start
SSD,19,0.92,255.93,0.45,257.3,3.89,1,0.4497,0,1,0,0,2,0,start
SSD,20,1.16,245.76,0.44,247.36,4.04,1,0.4602,0,1,0,0,2,0,start
SSD,21,1.38,246.56,0.44,248.38,4.03,1,0.5183,0,1,0,0,2,0,start
SSD,22,1.11,248.13,0.48,249.73,4.0,1,0.3987,0,1,0,0,2,0,start
SSD,23,0.99,247.0,0.44,248.44,4.03,1,0.4554,0,1,0,0,2,0,start
SSD,24,0.93,247.28,0.52,248.72,4.02,1,0.4012,0,1,0,0,2,0,start
SSD,25,0.9,244.88,0.3,246.08,4.06,0,0.0,1,0,0,0,2,0,start
SSD,26,0.96,244.18,0.41,245.55,4.07,1,0.4014,0,0,0,0,2,0,start
SSD,27,0.89,245.89,0.33,247.11,4.05,0,0.0,1,0,0,0,2,0,start
SSD,28,1.04,249.13,0.88,251.05,3.98,0,0.0,1,0,0,0,2,0,start
SSD,29,0.82,251.36,0.31,252.49,3.96,0,0.0,1,0,0,0,2,0,start
SSD,30,1.06,245.96,0.32,247.34,4.04,0,0.0,1,0,0,0,2,0,start
SSD,31,1.23,248.01,0.32,249.55,4.01,0,0.0,1,0,0,0,2,0,start
SSD,32,1.06,254.75,0.32,256.12,3.9,0,0.0,1,0,0,0,2,0,start
SSD,33,0.92,252.78,0.33,254.03,3.94,0,0.0,1,0,0,0,2,0,start
SSD,34,0.97,248.64,0.32,249.94,4.0,0,0.0,1,0,0,0,2,0,start
SSD,35,1.04,249.22,0.41,250.68,3.99,1,0.3931,0,0,0,0,2,0,start
SSD,36,0.92,247.28,0.3,248.5,4.02,0,0.0,1,0,0,0,2,0,start
SSD,37,0.96,246.48,0.32,247.76,4.04,0,0.0,1,0,0,0,2,0,start
SSD,38,0.95,244.01,0.31,245.28,4.08,0,0.0,1,0,0,0,2,0,start
SSD,39,0.91,247.88,0.33,249.12,4.01,0,0.0,1,0,0,0,2,0,start
SSD,40,1.06,246.79,0.42,248.27,4.03,1,0.3515,0,0,0,0,2,0,start
SSD,41,0.9,245.7,0.28,246.88,4.05,0,0.0,1,0,0,0,2,0,start
SSD,42,1.06,245.3,0.27,246.63,4.05,0,0.0,1,0,0,0,2,0,start
SSD,43,1.06,243.87,0.3,245.23,4.08,0,0.0,1,0,0,0,2,0,start
SSD,44,1.16,248.61,0.27,250.03,4.0,0,0.0,1,0,0,0,2,0,start
SSD,45,1.13,250.41,0.27,251.81,3.97,0,0.0,1,0,0,0,2,0,start
SSD,46,0.95,243.02,0.27,244.24,4.09,0,0.0,1,0,0,0,2,0,start
SSD,47,0.86,253.83,0.28,254.97,3.92,0,0.0,1,0,0,0,2,0,start
SSD,48,0.94,259.93,0.28,261.16,3.83,0,0.0,1,0,0,0,2,0,start
SSD,49,1.12,262.0,0.28,263.4,3.8,0,0.0,1,0,0,0,2,0,start
SSD,50,1.02,258.03,0.28,259.33,3.86,0,0.0,1,0,0,0,2,0,start
SSD,51,0.97,256.28,0.28,257.53,3.88,0,0.0,1,0,0,0,2,0,start
SSD,52,1.1,250.7,0.28,252.08,3.97,0,0.0,1,0,0,0,2,0,start
SSD,53,1.06,254.16,0.28,255.5,3.91,0,0.0,1,0,0,0,2,0,start
SSD,54,0.94,249.25,0.28,250.46,3.99,0,0.0,1,0,0,0,2,0,start
SSD,55,0.94,257.28,0.27,258.49,3.87,0,0.0,1,0,0,0,2,0,start
SSD,56,0.83,270.22,0.28,271.33,3.69,0,0.0,1,0,0,0,2,0,start
SSD,57,0.96,269.42,0.31,270.69,3.69,0,0.0,1,0,0,0,2,0,start
SSD,58,1.15,265.57,0.31,267.03,3.74,0,0.0,1,0,0,0,2,0,start
SSD,59,1.36,270.56,0.27,272.19,3.67,0,0.0,1,0,0,0,2,0,start
SSD,60,1.04,247.1,0.3,248.44,4.03,0,0.0,1,0,0,0,2,0,start
SSD,61,1.03,248.74,0.27,250.03,4.0,0,0.0,1,0,0,0,2,0,start
SSD,62,1.12,248.96,0.27,250.35,3.99,0,0.0,1,0,0,0,2,0,start
SSD,63,1.05,247.05,0.3,248.39,4.03,0,0.0,1,0,0,0,2,0,start
SSD,64,0.93,245.25,0.27,246.45,4.06,0,0.0,1,0,0,0,2,0,start
SSD,65,0.91,246.19,0.27,247.37,4.04,0,0.0,1,0,0,0,2,0,start
SSD,66,1.06,244.87,0.27,246.2,4.06,0,0.0,1,0,0,0,2,0,start
SSD,67,0.91,251.75,0.33,252.99,3.95,0,0.0,1,0,0,0,2,0,start
SSD,68,1.04,244.79,0.29,246.12,4.06,0,0.0,1,0,0,0,2,0,start
SSD,69,0.92,245.77,0.29,246.98,4.05,0,0.0,1,0,0,0,2,0,start
SSD,70,1.09,246.1,0.28,247.47,4.04,0,0.0,1,0,0,0,2,0,start
