model,frame,decode_ms,infer_ms,track_ms,pipeline_ms,fps_proc,num_det_vehicle,mean_score_vehicle,frames_no_det,active_tracks,in_running,out_running,unique_ids,id_switches,segment
SVM,0,24.95,65.21,0.09,90.25,11.08,0,0.0,1,0,0,0,0,0,start
SVM,1,0.77,0.0,0.13,0.9,1114.79,0,0.0,1,0,0,0,0,0,start
SVM,2,0.63,0.0,0.14,0.77,1294.27,0,0.0,1,0,0,0,0,0,start
SVM,3,0.91,0.0,0.14,1.05,952.63,0,0.0,1,0,0,0,0,0,start
SVM,4,0.75,28.44,0.11,29.3,34.13,0,0.0,1,0,0,0,0,0,start
SVM,5,1.45,0.0,0.12,1.58,633.93,0,0.0,1,0,0,0,0,0,start
SVM,6,0.89,0.0,0.14,1.03,970.37,0,0.0,1,0,0,0,0,0,start
SVM,7,0.66,0.0,0.15,0.81,1232.49,0,0.0,1,0,0,0,0,0,start
SVM,8,0.76,27.61,0.09,28.46,35.14,0,0.0,1,0,0,0,0,0,start
SVM,9,0.96,0.0,0.12,1.08,927.27,0,0.0,1,0,0,0,0,0,start
SVM,10,0.62,0.0,0.12,0.74,1352.61,0,0.0,1,0,0,0,0,0,start
SVM,11,3.33,0.0,0.15,3.48,287.13,0,0.0,1,0,0,0,0,0,start
SVM,12,1.91,27.66,0.08,29.65,33.72,0,0.0,1,0,0,0,0,0,start
SVM,13,0.9,0.0,0.12,1.02,980.05,0,0.0,1,0,0,0,0,0,start
SVM,14,0.85,0.0,0.35,1.2,832.24,0,0.0,1,0,0,0,0,0,start
SVM,15,0.69,0.0,0.14,0.83,1201.04,0,0.0,1,0,0,0,0,0,start
SVM,16,0.65,27.7,0.09,28.44,35.17,0,0.0,1,0,0,0,0,0,start
SVM,17,0.92,0.0,0.13,1.05,954.55,0,0.0,1,0,0,0,0,0,start
SVM,18,0.86,0.0,0.13,0.99,1010.93,0,0.0,1,0,0,0,0,0,start
SVM,19,0.63,0.0,0.12,0.75,1332.13,0,0.0,1,0,0,0,0,0,start
SVM,20,0.69,27.22,0.09,28.0,35.72,0,0.0,1,0,0,0,0,0,start
SVM,21,0.87,0.0,0.14,1.01,994.36,0,0.0,1,0,0,0,0,0,start
SVM,22,0.68,0.0,0.21,0.9,1115.47,0,0.0,1,0,0,0,0,0,start
SVM,23,0.58,0.0,0.13,0.71,1416.61,0,0.0,1,0,0,0,0,0,start
SVM,24,3.36,27.32,0.09,30.77,32.5,0,0.0,1,0,0,0,0,0,start
SVM,25,1.09,0.0,0.12,1.21,823.91,0,0.0,1,0,0,0,0,0,start
SVM,26,0.8,0.0,0.14,0.94,1068.75,0,0.0,1,0,0,0,0,0,start
SVM,27,0.66,0.0,0.14,0.81,1236.9,0,0.0,1,0,0,0,0,0,start
SVM,28,0.82,27.34,0.08,28.25,35.4,0,0.0,1,0,0,0,0,0,start
SVM,29,0.96,0.0,0.12,1.08,925.39,0,0.0,1,0,0,0,0,0,start
SVM,30,0.69,0.0,0.11,0.8,1243.08,0,0.0,1,0,0,0,0,0,start
SVM,31,0.69,0.0,0.13,0.82,1217.77,0,0.0,1,0,0,0,0,0,start
SVM,32,0.67,27.5,0.08,28.25,35.4,0,0.0,1,0,0,0,0,0,start
SVM,33,0.93,0.0,0.12,1.05,952.28,0,0.0,1,0,0,0,0,0,start
SVM,34,0.69,0.0,0.11,0.8,1244.74,0,0.0,1,0,0,0,0,0,start
SVM,35,0.59,0.0,0.13,0.72,1396.73,0,0.0,1,0,0,0,0,0,start
SVM,36,1.61,28.23,0.08,29.92,33.42,0,0.0,1,0,0,0,0,0,start
SVM,37,0.81,0.0,0.12,0.93,1076.72,0,0.0,1,0,0,0,0,0,start
SVM,38,0.7,0.0,0.12,0.82,1214.0,0,0.0,1,0,0,0,0,0,start
SVM,39,5.55,0.0,0.14,5.69,175.7,0,0.0,1,0,0,0,0,0,start
SVM,40,0.67,33.1,0.1,33.87,29.53,0,0.0,1,0,0,0,0,0,start
