model,frame,decode_ms,infer_ms,track_ms,pipeline_ms,fps_proc,num_det_vehicle,mean_score_vehicle,frames_no_det,active_tracks,in_running,out_running,unique_ids,id_switches,segment
YOLOv8s,0,32.53,245.26,0.51,278.29,3.59,4,0.659,0,4,0,0,4,0,start
YOLOv8s,1,1.17,103.93,0.76,105.86,9.45,3,0.6557,0,3,0,0,4,0,start
YOLOv8s,2,2.86,113.9,0.72,117.49,8.51,3,0.6398,0,3,0,0,4,0,start
YOLOv8s,3,1.31,155.05,0.84,157.2,6.36,5,0.5305,0,3,0,0,4,0,start
YOLOv8s,4,0.95,111.17,0.81,112.93,8.85,3,0.5657,0,3,0,0,4,0,start
YOLOv8s,5,1.09,103.67,0.84,105.6,9.47,4,0.5879,0,3,0,0,4,0,start
YOLOv8s,6,0.97,109.68,0.82,111.47,8.97,4,0.5774,0,3,0,0,4,0,start
YOLOv8s,7,1.27,105.11,1.01,107.39,9.31,4,0.5718,0,3,0,0,5,0,start
YOLOv8s,8,1.22,116.18,0.98,118.38,8.45,4,0.5928,0,3,0,0,6,0,start
YOLOv8s,9,1.27,119.69,1.07,122.03,8.19,5,0.5028,0,4,0,0,6,0,start
YOLOv8s,10,1.36,121.18,0.96,123.51,8.1,4,0.5432,0,4,0,0,6,0,start
YOLOv8s,11,1.3,118.57,0.85,120.71,8.28,3,0.5684,0,3,0,0,6,0,start
YOLOv8s,12,1.3,117.31,1.15,119.76,8.35,3,0.6012,0,3,0,0,6,0,start
YOLOv8s,13,1.13,113.64,0.92,115.68,8.64,4,0.5879,0,3,0,0,6,0,start
YOLOv8s,14,1.71,116.62,0.93,119.26,8.38,4,0.5686,0,3,0,0,6,0,start
YOLOv8s,15,1.5,107.87,1.06,110.43,9.06,4,0.5352,0,4,0,0,7,0,start
YOLOv8s,16,1.11,104.38,1.03,106.52,9.39,4,0.4996,0,4,0,0,7,0,start
YOLOv8s,17,1.38,117.41,1.04,119.83,8.35,4,0.5039,0,4,0,0,7,0,start
YOLOv8s,18,1.34,106.43,0.9,108.67,9.2,4,0.4934,0,4,0,0,7,0,start
YOLOv8s,19,1.36,100.65,0.8,102.81,9.73,3,0.5636,0,3,0,0,7,0,start
YOLOv8s,20,0.98,100.89,0.86,102.73,9.73,4,0.533,0,3,0,0,7,0,start
YOLOv8s,21,1.15,105.74,0.84,107.74,9.28,3,0.584,0,3,0,0,7,0,start
YOLOv8s,22,1.2,108.63,1.03,110.85,9.02,3,0.5696,0,3,0,0,7,0,start
YOLOv8s,23,1.32,111.93,0.91,114.16,8.76,4,0.5069,0,3,0,0,7,0,start
YOLOv8s,24,0.99,111.42,0.89,113.29,8.83,3,0.56,0,3,0,0,7,0,start
YOLOv8s,25,1.03,107.69,0.84,109.56,9.13,4,0.532,0,3,0,0,7,0,start
YOLOv8s,26,1.21,108.51,0.86,110.58,9.04,4,0.5557,0,4,0,0,7,0,start
YOLOv8s,27,1.12,107.31,0.89,109.33,9.15,4,0.5199,0,4,0,0,7,0,start
YOLOv8s,28,1.43,116.39,0.84,118.65,8.43,3,0.5865,0,2,0,0,7,0,start
YOLOv8s,29,1.06,107.88,0.87,109.81,9.11,4,0.5551,0,2,0,0,7,0,start
YOLOv8s,30,1.32,103.52,0.99,105.84,9.45,5,0.5244,0,4,0,0,8,0,start
YOLOv8s,31,1.4,152.9,1.69,155.99,6.41,5,0.5241,0,5,0,0,8,0,start
YOLOv8s,32,1.06,104.38,1.06,106.51,9.39,5,0.5396,0,5,0,0,8,0,start
YOLOv8s,33,1.42,102.23,0.91,104.56,9.56,5,0.5734,0,5,0,0,8,0,start
YOLOv8s,34,1.04,99.85,1.14,102.03,9.8,6,0.5336,0,5,0,0,8,0,start
YOLOv8s,35,1.47,96.79,0.85,99.11,10.09,3,0.6303,0,3,0,0,8,0,start
YOLOv8s,36,1.39,123.25,1.04,125.68,7.96,4,0.5705,0,3,0,0,8,0,start
YOLOv8s,37,1.96,106.21,0.97,109.14,9.16,5,0.578,0,3,0,0,8,0,start
YOLOv8s,38,1.21,93.44,1.05,95.7,10.45,5,0.5769,0,5,0,0,9,0,start
YOLOv8s,39,1.12,104.53,0.97,106.62,9.38,5,0.6163,0,5,0,0,9,0,start
YOLOv8s,40,1.15,102.21,0.91,104.28,9.59,4,0.694,0,4,0,0,9,0,start
YOLOv8s,41,0.98,91.81,0.96,93.75,10.67,4,0.6525,0,4,0,0,9,0,start
YOLOv8s,42,1.35,96.62,0.91,98.88,10.11,4,0.652,0,4,0,0,9,0,start
YOLOv8s,43,1.12,99.92,0.86,101.9,9.81,4,0.5813,0,4,0,0,9,0,start
YOLOv8s,44,1.11,100.18,0.87,102.15,9.79,4,0.672,0,4,0,0,9,0,start
YOLOv8s,45,1.69,104.07,0.84,106.6,9.38,4,0.5883,0,4,0,0,9,0,start
YOLOv8s,46,1.64,107.38,1.13,110.15,9.08,4,0.5864,0,4,0,0,9,0,start
