model,model_type,frames_processed,processing_elapsed_s,video_fps_meta,video_time_est_s,fps_proc_mean,fps_proc_p95,pipeline_ms_p50,pipeline_ms_p95,infer_ms_mean,infer_ms_p95,num_det_mean,mean_score_mean,no_det_rate,active_tracks_mean,unique_ids,id_switches,in_pred,out_pred,motp,annotated_video,gt_in,gt_out,err_in_abs,err_out_abs,err_in_rel,err_out_rel,mae_count,precision_in,recall_in,f1_in,precision_out,recall_out,f1_out,mota,vehicles_per_min,hog_accuracy,hog_f1,train_time_s
YOLOv8n,Deep Learning,2531,151.31674872799977,30.011857707509883,84.33333333333333,19.075286448044253,23.07,52.17,64.64,52.42738838403793,61.275,2.6483603318846307,0.5381909917028842,0.061240616357171075,2.455946266297906,60,16,9,11,0.9541,pfe_output/annotated_YOLOv8n.mp4,15,15,6,4,0.4,0.26666666666666666,5.0,1.0,0.6,0.75,1.0,0.7333,0.8462,0.1333,14.229249011857709,,,
YOLOv8s,Deep Learning,2531,279.5921308910001,30.011857707509883,84.33333333333333,9.564235480047413,10.495000000000001,102.87,123.075,103.27927301461872,120.2,3.1540892927696564,0.5999930857368629,0.0450414855788226,2.9478467009087317,74,13,10,12,0.953,pfe_output/annotated_YOLOv8s.mp4,15,15,5,3,0.3333333333333333,0.2,4.0,1.0,0.6667,0.8,1.0,0.8,0.8889,0.3,15.652173913043478,,,
Faster R-CNN,Deep Learning,1725,3600.6099033150003,30.011857707509883,57.47728170683524,0.48070144927536235,0.5,2070.21,2189.848,2080.20608115942,2186.832,12.415652173913044,0.6568462028985509,0.0,10.95768115942029,270,76,11,21,0.9395,pfe_output/annotated_Faster_R-CNN.mp4,15,15,4,6,0.26666666666666666,0.4,5.0,1.0,0.7333,0.8462,0.7143,1.0,0.8333,-1.0,33.404502491837086,,,
Mask R-CNN,Deep Learning,1541,3601.750444282001,30.011857707509883,51.34637165810615,0.4291499026606099,0.46,2332.28,2468.54,2330.342323166775,2465.22,14.868916288124595,0.6719446463335498,0.0,13.211550940947436,244,64,9,15,0.9435,pfe_output/annotated_Mask_R-CNN.mp4,15,15,6,0,0.4,0.0,3.0,1.0,0.6,0.75,1.0,1.0,1.0,-1.0,28.044824853221435,,,
SSD,Deep Learning,2531,645.5426410750006,30.011857707509883,84.33333333333333,3.9825167917819044,4.12,249.35,267.53,250.01991702884231,265.985,0.27143421572500986,0.10944911102331094,0.7613591465823785,0.1892532595811932,26,6,0,0,0.9477,pfe_output/annotated_SSD.mp4,15,15,15,15,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,,,
RetinaNet,Deep Learning,1690,3600.5712301699987,30.011857707509883,56.31107599104438,0.4710710059171597,0.48,2114.35,2207.95,2124.012378698225,2205.5299999999997,8.78284023668639,0.5184183431952663,0.015384615384615385,7.627810650887574,261,65,11,18,0.9508,pfe_output/annotated_RetinaNet.mp4,15,15,4,3,0.26666666666666666,0.2,3.5,1.0,0.7333,0.8462,0.8333,1.0,0.9091,-1.0,30.899782491755737,,,
MobileNet-SSD,Deep Learning,2531,107.96848059600052,30.011857707509883,84.33333333333333,25.641635717107864,26.9,38.6,42.230000000000004,38.10541288028447,41.09,0.10075069142631371,0.03777127617542473,0.9087317265902806,0.07072303437376531,22,0,0,0,0.9194,pfe_output/annotated_MobileNet-SSD.mp4,15,15,15,15,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SVM,ML classique,2531,31.800625537000087,30.011857707509883,84.33333333333333,834.9079849861714,1443.655,0.98,40.365,7.118119320426708,29.095,0.0,0.0,1.0,0.0,0,0,0,0,0.0,pfe_output/annotated_SVM.mp4,15,15,15,15,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.29981673400016007
KNN,ML classique,2531,67.83696981499997,30.011857707509883,84.33333333333333,780.4172777558277,1336.24,1.01,98.155,20.91137495061241,86.815,0.0,0.0,1.0,0.0,0,0,0,0,0.0,pfe_output/annotated_KNN.mp4,15,15,15,15,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.009850743999777478
Decision Tree,ML classique,2531,31.350695958997676,30.011857707509883,84.33333333333333,652.832603713947,1050.6750000000002,1.24,38.445,6.771477676807586,27.66,0.5365468194389569,0.4816278150928487,0.5183721849071513,0.4535756617937574,36,25,0,0,0.9993,pfe_output/annotated_Decision_Tree.mp4,15,15,15,15,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8333,0.0,0.9770992366412213,0.9793103448275862,0.16912011400017946
